customer_id,product
Q7KY2,Baby Cradle
Q7KY2,Baby Diapers Pack
Q7KY2,Kids Shoes
Q7KY2,Pencil Box Set
Q7KY2,Baby Wipes
Q7KY2,Kids School Bag
Q7KY2,Baby Lotion
Q7KY2,Kajal / Eyeliner
XP2F1,Non-Stick Frying Pan
XP2F1,Kids T-Shirt
XP2F1,Water Purifier (Non-Electric)
XP2F1,Chopping Board
XP2F1,Rice Cooker
XP2F1,Charging Cable
XP2F1,Water Bottle Set (Steel)
XP2F1,Whiteboard with Marker
XP2F1,Electric Chimney
XP2F1,Microwave Oven
F116F,Tea Pack
F116F,Moisturizer Cream
F116F,Face Serum
F116F,Hair Dryer
F116F,Pressure Cooker (3L)
F116F,Shaving Kit
2HYCJ,Electric Chimney
2HYCJ,Non-Stick Frying Pan
2HYCJ,Electric Kettle
2HYCJ,Chopping Board
2HYCJ,Nail Grooming Kit
2HYCJ,Wired Headphones
2HYCJ,Thermos Flask
2HYCJ,Pressure Cooker (3L)
2HYCJ,Water Bottle Set (Steel)
6D9IW,Sports Shoes
6D9IW,Sandals / Slippers
6D9IW,Formal Shoes
6D9IW,Slides
6D9IW,Sports Sandals
VJHLX,Rice (1kg)
VJHLX,Chips Pack
VJHLX,Face Wash
VJHLX,Cooking Oil (1L)
VJHLX,Bread Loaf
2WWDZ,Kettlebell
2WWDZ,Yoga Mat
2WWDZ,Gel Pen Pack
2WWDZ,Ab Roller
2WWDZ,Face Serum
2WWDZ,Treadmill (Manual)
2WWDZ,Foam Roller
A7I9I,Digital Weighing Scale
A7I9I,Kettlebell
A7I9I,Foam Roller
A7I9I,Exercise Cycle
A7I9I,Protein Powder
A7I9I,Skipping Rope
A7I9I,Fitness Tracker Band
LWJP6,Rug / Carpet
LWJP6,Cushion Covers
LWJP6,Wardrobe Organizer
LWJP6,Blanket
LWJP6,Chair Cover Set
LWJP6,Foldable Storage Box
LWJP6,Curtains Set
LWJP6,Fitness Tracker Band
LWJP6,Sofa Cushion Set
LWJP6,Pillow Set
KRXNF,Exam Pad
KRXNF,Sports Shoes
KRXNF,Gel Pen Pack
KRXNF,School Backpack
KRXNF,Calculator
NJLBY,Baby Feeding Bottle
NJLBY,Baby Stroller
NJLBY,Kids Water Bottle
NJLBY,Baby Bath Tub
NJLBY,Baby Mosquito Net
NJLBY,Kids Shoes
NJLBY,Baby Diapers Pack
ERJTN,Face Serum
ERJTN,Hair Oil
ERJTN,Moisturizer Cream
ERJTN,Conditioner
ERJTN,Nail Grooming Kit
ERJTN,Soap Bar Pack
ERJTN,Kajal / Eyeliner
ERJTN,Lipstick
1OUFR,Water Bottle Set (Steel)
1OUFR,Treadmill (Manual)
1OUFR,Hand Grip Strengthener
1OUFR,Ankle Weights Set
1OUFR,Foam Roller
1OUFR,Wireless Charger
1OUFR,Yoga Mat
1OUFR,Portable Hard Drive (1TB)
WCBH0,Sticky Notes Pack
WCBH0,Glue Stick Pack
WCBH0,Art Color Set
WCBH0,Laundry Basket
WCBH0,Exam Pad
WCBH0,Whiteboard with Marker
WCBH0,Marker Pen Set
WCBH0,Diary / Planner
WCBH0,Notebook (200 Pages)
KVCRE,Sauce Bottle
KVCRE,Coffee Pack
KVCRE,Tea Pack
KVCRE,Baby Soap
KVCRE,Bread Loaf
V1ZCI,Baby Soap
V1ZCI,Kids Shoes
V1ZCI,Foldable Storage Box
V1ZCI,Baby Food Cereal
V1ZCI,Baby Mosquito Net
V1ZCI,Kids Toy Set
V1ZCI,Baby Shampoo
V1ZCI,Baby Bath Tub
V1ZCI,Kids Water Bottle
V1ZCI,Massage Gun
YVIYY,Kids Cycle
YVIYY,Baby Mosquito Net
YVIYY,Kids Lunch Box
YVIYY,Baby Feeding Bottle
YVIYY,Toaster
ESD70,Webcam
ESD70,Action Camera
ESD70,Kajal / Eyeliner
ESD70,VR Accessory
ESD70,Smartwatch
ESD70,Skipping Rope
ESD70,Fitness Tracker
ESD70,Mules / Clogs
RFUFO,Hand Grip Strengthener
RFUFO,Massage Gun
RFUFO,Dumbbells Set
RFUFO,Resistance Bands Set
RFUFO,Fitness Tracker Band
XVSLA,Bluetooth Speaker
XVSLA,Instant Noodles
XVSLA,Laptop Bag
XVSLA,Bluetooth Earbuds
XVSLA,Charging Cable
XVSLA,Kurti
XVSLA,USB Flash Drive (32GB)
XVSLA,Wireless Charger
0VERO,Eraser Pack
0VERO,Sticky Notes Pack
0VERO,Stapler with Pins
0VERO,Notebook (200 Pages)
0VERO,Diary / Planner
0VERO,Thermos Flask
0VERO,Exam Pad
0VERO,Desk Organizer
IY9CX,Canvas Shoes
IY9CX,Ankle Weights Set
IY9CX,Dumbbells Set
IY9CX,Men T-Shirt
IY9CX,Resistance Bands Set
IY9CX,Exercise Cycle
IY9CX,Skipping Rope
IY9CX,Multivitamin Supplements
IY9CX,Protein Powder
IY9CX,Ab Roller
Y4LZD,Wireless Charger
Y4LZD,Sports Sandals
Y4LZD,Deodorant Spray
Y4LZD,Sports Shoes
Y4LZD,Nightwear Set
Y4LZD,Casual Sneakers
Y4LZD,Mules / Clogs
QPBO0,Deodorant Spray
QPBO0,Multivitamin Supplements
QPBO0,Digital Weighing Scale
QPBO0,Kettlebell
