customer_id,Recency,Frequency,Monetary
0000C,149,1,11493
000RR,211,1,12593
002A1,293,1,26723
005A0,26,1,19194
005G7,26,1,10694
007SH,266,1,5671
0093I,170,1,13793
00ATU,239,1,41294
00J4J,6,1,2463
00JV5,217,1,22612
00NMU,71,1,17591
00QTW,164,1,10290
00RBB,293,1,9594
00SFG,236,1,13191
00UNY,281,1,14593
00YXR,210,1,10111
00ZZF,358,1,13394
010BY,72,1,5260
014EF,43,1,8895
0195X,48,1,5843
019XO,146,1,8195
01ADE,347,1,8542
01B2V,231,1,9593
01BJV,289,1,10992
01GAF,362,1,15994
01GIH,238,1,2548
01JRF,268,1,18790
01MCK,207,1,17493
01TL6,125,1,16494
01UVJ,348,1,8646
01XOV,113,1,13341
01XXS,237,1,14991
020DC,360,1,11694
021K1,32,1,4295
022LQ,252,1,20091
027WZ,25,1,9790
02AUI,153,1,857
02BT2,161,1,22424
02BUF,111,1,12791
02CF3,80,1,12574
02GHA,157,1,51841
02GPN,25,1,27091
02K12,87,1,10390
02SH8,223,1,12892
02TIU,170,1,3993
02XML,80,1,18693
02ZDA,202,1,7994
031VO,106,1,26093
032IH,203,1,7644
0334F,231,1,12292
036VK,37,1,17494
03DM7,190,1,14892
03ISI,40,1,6411
03N8S,230,1,10195
03OWK,142,1,3019
03P2P,1,1,14792
03XSB,54,1,8303
03ZH6,256,1,9541
0417I,7,1,14490
041MQ,220,1,4345
042HP,158,1,12292
042YX,117,1,4095
044G3,192,1,16912
04C4K,77,1,24893
04DKJ,252,1,6645
04FXS,38,1,5895
04GGW,113,1,11791
04GJR,188,1,3792
04RWI,216,1,3392
04TD7,340,1,5527
04Z8Y,309,1,16241
050ZC,69,1,22021
051HT,1,1,73391
053EF,71,1,6573
0552Q,95,1,8695
055RF,183,1,6995
0560P,270,1,13392
056CU,84,1,2090
058G0,207,1,19794
0592K,269,1,18040
059YT,146,1,12495
05AQC,240,1,7340
05DFS,17,1,39294
05EL9,138,1,780
05FD8,105,1,19290
05G23,42,1,8993
05NG6,288,1,27193
05NZB,50,1,13143
05OJO,96,1,4576
05TDB,257,1,32695
05XDC,299,1,4344
05XEO,258,1,4195
05XNS,330,1,14394
05ZL0,218,1,6294
0621G,325,1,13992
062WP,355,1,9034
0648S,76,1,15493
0659U,288,1,4840
068RT,253,1,5343
06A73,253,1,4443
06DMO,277,1,11241
06EBV,113,1,47790
06FTW,165,1,11594
06GRB,14,1,27141
06M0E,4,1,5093
06MLE,291,1,16990
06MT8,249,1,23694
06PUP,147,1,12344
06T2P,308,1,885
06WYX,24,1,925
06ZQ0,8,1,32990
071VJ,94,1,20790
073CB,178,1,11504
073OA,79,1,1608
075L9,351,1,5694
07BM4,240,1,27491
07O8R,148,1,6194
07OZR,20,1,10694
07TKZ,288,1,12794
082QM,202,1,4826
082SC,170,1,13440
08AR0,322,1,6423
08DC2,99,1,42190
08DCJ,124,1,5874
08DZP,296,1,15892
08HW0,311,1,901
08IVU,234,1,7792
08K68,41,1,39492
08KDD,230,1,7544
08MP0,134,1,2868
08UHI,127,1,18811
08Y1V,58,1,4062
090OV,81,1,22630
091A0,110,1,14692
091GI,329,1,3174
0972Z,157,1,1868
09CX7,2,1,20492
09EJE,22,1,15902
09EPL,74,1,2893
09GV9,263,1,10693
09HOA,315,1,11594
09JL5,64,1,17790
09JV1,219,1,41491
09K7A,42,1,14795
09LXW,180,1,7740
09N9B,155,1,677
09OOL,191,1,5994
09RGC,254,1,7694
09W8R,114,1,11890
0A27J,135,1,3144
0A5DU,257,1,11242
0A92B,266,1,9743
0ADPV,162,1,12444
0ADQZ,303,1,36991
0AEO7,67,1,8895
0AJPW,224,1,9190
0AU6I,307,1,21240
0AWWX,38,1,9793
0AX8Y,295,1,10790
0AYYB,63,1,14592
0B8PU,189,1,8192
0B94L,197,1,18092
0BA0Q,24,1,8991
0BCP2,129,1,16793
0BD49,93,1,1302
0BGYW,142,1,40991
0BOQN,121,1,7692
0BS2R,3,1,39994
0BT89,94,1,21995
0BTV5,41,1,3993
0C07S,81,1,12594
0C10Y,300,1,15144
0C4R9,275,1,9029
0C51L,188,1,16094
0C6OB,197,1,26041
0C6ZB,35,1,11132
0C9RY,157,1,15592
0CAWJ,57,1,8212
0CAZ3,114,1,7495
0CFCW,294,1,12292
0CQPI,223,1,22790
0CT0S,280,1,11795
0CUHR,130,1,401
0CUL2,35,1,958
0CV3X,188,1,4012
0CVOO,115,1,12444
0CZ6G,53,1,5939
0D4QC,1,1,35590
0D57J,9,1,12342
0DDWH,287,1,8692
0DFN5,257,1,1818
0DHOB,12,1,41393
0DHPV,123,1,1025
0DIW5,132,1,17390
0DKM1,329,1,6491
0DKRD,178,1,17190
0DMR0,17,1,16790
0DOPT,296,1,14791
0DRUQ,297,1,270
0DVYC,4,1,28612
0DX4A,267,1,2795
0DXRI,20,1,9493
0DYT1,4,1,4795
0E9KU,255,1,1135
0EA6A,145,1,19192
0ECLV,275,1,843
0EDG7,258,1,6143
0EEBV,26,1,4293
0EMVT,174,1,9242
0ENTP,37,1,4962
0EOD1,82,1,10693
0EREU,328,1,5595
0EU5C,120,1,5895
0F2DN,359,1,20291
0F56U,91,1,8392
0F775,0,1,7494
0F8A4,46,1,1454
0F8F9,105,1,3395
0F903,354,1,27173
0FBJP,41,1,4745
0FF5J,333,1,28790
0FFM8,165,1,12042
0FIUN,207,1,3994
0FRKQ,249,1,17144
0FVQ2,172,1,6994
0FVRJ,301,1,6592
0G4D3,204,1,8593
0G58F,261,1,9290
0GCJA,82,1,13443
0GGVN,356,1,8541
0GJ4T,74,1,16692
0GMV4,11,1,42133
0GO71,228,1,3344
0GOKR,191,1,6395
0GS8A,62,1,43492
0GTBY,45,1,13191
0GUAH,72,1,10891
0GULC,253,1,7991
0GXOL,264,1,24942
0GYEU,268,1,16094
0GZNR,310,1,27090
0H2Z1,237,1,5490
0H340,117,1,48941
0H9QJ,183,1,9742
0HA15,351,1,4395
0HIZH,25,1,4610
0HLLA,162,1,8695
0HNCA,263,1,16942
0HOSX,53,1,3424
0HSOO,50,1,8342
0HVDW,107,1,11394
0HXUG,129,1,8990
0HZJ7,107,1,33744
0I04F,136,1,15894
0I26Y,335,1,12194
0I6ZG,216,1,51991
0I8O7,33,1,10045
0IAJH,344,1,10775
